Time(s),CELL VOLTAGE 1 (100 uV),CELL VOLTAGE 2 (100 uV),CELL VOLTAGE 3 (100 uV),CELL VOLTAGE 4 (100 uV),CELL VOLTAGE 5 (100 uV),CELL VOLTAGE 6 (100 uV),CELL VOLTAGE 7 (100 uV),CELL VOLTAGE 8 (100 uV),CELL VOLTAGE 9 (100 uV),CELL VOLTAGE 10 (100 uV),CELL VOLTAGE 11 (100 uV),CELL VOLTAGE 12 (100 uV),Temperature 1(C),Temperature 2(C),Temperature 3(C)
1351.354,41042,41004,40939,41019,41021,41004,41015,41006,41767,40976,41023,41014,124,124,124,124
1356.340,41060,41012,40948,41024,41044,41023,41027,41013,41779,40976,41042,41021,124,124,124,124
1361.290,41045,41009,40967,41018,41017,41009,41036,41027,41774,40987,41008,41030,124,124,124,124
1366.345,41066,41036,40969,41053,41060,41038,41036,41053,41798,41007,41055,41052,124,124,124,124
1371.430,41088,41048,40983,41058,41055,41048,41056,41047,41808,41019,41067,41058,124,124,124,124
1376.344,41104,41058,40993,41070,41089,41072,41072,41055,41824,41023,41086,41067,124,124,124,124
1381.307,41112,41071,41004,41077,41096,41080,41083,41099,41836,41033,41094,41080,124,124,124,124
1386.358,41117,41086,41018,41090,41100,41081,41091,41112,41846,41053,41097,41093,124,124,124,124
1391.316,41122,41090,41033,41094,41096,41086,41098,41102,41844,41059,41089,41110,124,124,124,124
1396.389,41134,41102,41032,41114,41110,41105,41105,41121,41862,41073,41121,41118,124,124,124,124
1401.400,41142,41116,41058,41115,41124,41110,41125,41131,41876,41078,41120,41133,124,124,124,124
1406.366,41164,41130,41061,41140,41146,41127,41133,41157,41893,41099,41145,41137,124,124,124,124
1411.340,41174,41137,41071,41152,41158,41138,41145,41138,41900,41109,41157,41147,124,124,124,124
1416.326,41184,41150,41084,41148,41154,41152,41157,41155,41904,41112,41156,41167,124,124,124,124
1421.379,41203,41160,41093,41177,41186,41161,41177,41163,41923,41131,41180,41180,124,124,124,124
1426.373,41193,41154,41112,41165,41168,41154,41184,41175,41918,41133,41153,41180,124,124,124,124
1431.387,41217,41182,41110,41189,41204,41196,41191,41198,41946,41145,41205,41199,124,124,124,124
1436.447,41240,41195,41127,41209,41225,41195,41209,41222,41964,41166,41215,41200,124,124,124,124
1441.322,41251,41202,41145,41220,41235,41207,41221,41214,41981,41189,41228,41225,124,124,124,124
1446.373,41259,41215,41149,41224,41241,41231,41229,41216,41979,41178,41240,41226,124,124,124,124
1451.349,41270,41232,41161,41235,41251,41242,41242,41260,41994,41191,41252,41241,124,124,124,124
1456.411,41281,41242,41172,41251,41260,41242,41255,41269,42007,41213,41260,41251,124,124,124,124
1461.440,40593,40565,40491,40572,40563,40561,40572,40583,40571,40570,40561,40542,124,124,124,124
1466.386,40530,40507,40439,40504,40492,40499,40512,40522,40499,40495,40491,40487,124,124,124,124
1471.389,40485,40454,40388,40469,40466,40449,40467,40437,40454,40466,40456,40436,124,124,124,124
1476.378,40446,40423,40355,40418,40426,40443,40436,40400,40415,40402,40419,40417,124,124,124,124
1481.467,40422,40393,40320,40389,40387,40399,40403,40410,40396,40385,40390,40370,124,124,124,124
1486.430,40383,40367,40300,40370,40359,40363,40360,40368,40365,40364,40357,40356,124,124,124,124
1491.383,40363,40345,40281,40339,40329,40336,40341,40356,40334,40332,40327,40327,124,124,124,124
1496.467,40343,40319,40256,40325,40311,40315,40335,40299,40314,40319,40333,40305,124,124,124,124
1501.395,40304,40299,40247,40298,40300,40291,40338,40314,40305,40304,40270,40284,124,124,124,124
1506.351,40299,40291,40278,40311,40287,40297,40313,40284,40295,40284,40272,40279,124,124,124,124
1511.426,40304,40278,40211,40267,40269,40283,40280,40280,40263,40259,40272,40261,124,124,124,124
1516.362,40289,40259,40196,40257,40266,40279,40267,40233,40245,40248,40279,40247,124,124,124,124
1521.402,40269,40254,40185,40244,40266,40275,40251,40277,40251,40237,40261,40243,124,124,124,124
1526.371,40268,40244,40179,40240,40233,40237,40251,40245,40238,40230,40244,40223,124,124,124,124
1531.490,40246,40232,40165,40226,40247,40256,40247,40211,40217,40222,40240,40222,124,124,124,124
