Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
364.186,14360,-7990,26,94
364.616,14360,-7987,26,94
365.148,14356,-7965,26,94
365.686,14364,-7940,26,94
366.189,14364,-8000,26,94
366.649,14356,-7993,26,94
367.153,14349,-7971,26,94
367.616,14360,-7990,26,94
368.167,14360,-7956,26,94
368.636,14356,-7975,26,94
369.176,14360,-7946,26,94
369.660,14360,-7987,26,94
370.137,14356,-8031,26,94
370.662,14364,-7987,26,94
371.159,14356,-7987,26,94
371.632,14356,-8012,26,94
372.144,14360,-7940,26,94
372.659,14356,-7971,26,94
373.176,14356,-7990,26,94
373.613,14356,-7950,26,94
374.129,14353,-7965,26,94
374.642,14356,-7984,26,94
375.164,14360,-7971,26,94
375.645,14356,-8015,26,94
376.166,14356,-7937,26,94
376.765,14356,-7950,26,94
377.177,14349,-7915,26,94
377.641,14356,-7959,26,94
378.165,14360,-7978,26,94
378.640,14356,-7953,26,94
379.164,14356,-7975,26,94
379.643,14356,-7965,26,94
380.142,14356,-7971,26,94
380.664,14356,-7987,26,94
381.186,14356,-7959,26,94
381.696,14356,-7953,26,94
382.155,14360,-7953,26,94
382.698,14353,-8009,26,94
383.177,14360,-7971,26,94
383.649,14356,-8034,26,94
384.145,14356,-7990,26,94
384.636,14349,-7987,26,94
385.185,14356,-7946,26,94
385.663,14353,-8009,26,94
386.119,14353,-7971,26,94
386.672,14353,-7968,26,94
387.134,14356,-7987,26,94
387.645,14349,-7953,26,94
388.152,14353,-7987,26,94
388.622,14349,-7987,26,94
389.184,14353,-7946,26,94
389.679,14349,-8009,26,94
390.117,14353,-7984,26,94
390.668,14349,-7984,26,94
391.190,14353,-7937,26,94
391.643,14353,-7996,26,94
392.178,14346,-7968,26,94
392.645,14349,-7984,26,94
393.123,14356,-7975,26,94
393.654,14356,-7965,26,94
394.180,14349,-7946,26,94
394.647,14353,-8000,26,94
395.170,14349,-7996,26,94
395.642,14349,-7956,26,94
396.153,14349,-7959,26,94
396.669,14353,-7975,26,94
397.150,14353,-7990,26,94
397.673,14349,-7984,26,94
398.157,14346,-7990,26,94
398.634,14353,-7959,26,94
399.150,14353,-7946,26,94
399.668,14349,-7993,26,94
400.143,14349,-7971,26,94
400.689,14353,-7990,26,94
401.177,14349,-8012,26,94
401.663,14349,-7928,26,94
402.177,14349,-8000,26,94
402.629,14346,-7987,26,94
403.173,14342,-7993,26,94
403.642,14342,-7975,26,94
404.180,14349,-7946,26,94
404.637,14349,-7956,26,94
405.156,14353,-7990,26,94
405.667,14349,-7971,26,94
406.133,14349,-8006,26,94
406.688,14349,-7965,26,94
407.145,14353,-7978,26,94
407.679,14346,-7965,26,94
408.165,14349,-7965,26,94
408.669,14342,-7915,26,94
409.176,14349,-7987,26,94
409.646,14353,-7978,26,94
410.167,14353,-7987,26,94
410.667,14342,-7950,26,94
411.199,14346,-7959,26,94
411.629,14342,-7959,26,94
412.155,14346,-7990,26,94
412.659,14342,-7975,26,94
413.155,14346,-7990,26,94
413.662,14346,-7978,26,94
414.144,14346,-7987,26,94
414.688,14349,-7959,26,94
415.162,14342,-7968,26,94
415.665,14342,-7978,26,94
416.164,14342,-7965,26,94
416.680,14346,-7959,26,94
417.171,14342,-7987,26,94
