Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
474.622,13122,23968,26,35
475.148,13114,23950,26,14
475.709,13118,23978,26,35
476.261,13118,23921,26,14
476.726,13118,23959,26,35
477.114,13118,23940,26,14
477.785,13118,23940,26,35
478.220,13122,23940,26,14
478.691,13114,23946,26,35
479.160,13122,23956,26,14
479.698,13122,23918,26,35
480.152,13125,23996,26,14
480.660,13122,23946,26,35
481.129,13122,23950,26,14
481.625,13125,23971,26,35
482.189,13125,23968,26,14
482.612,13125,23921,26,35
483.146,13122,23959,26,14
483.623,13125,23956,26,35
484.128,13125,23975,26,14
484.729,13122,23950,26,35
485.250,13129,23934,26,14
485.607,13122,23956,26,35
486.223,13122,23959,26,14
486.669,13125,23956,26,35
487.159,13125,23950,26,14
487.624,13129,23993,26,35
488.146,13122,23950,26,14
488.681,13132,23956,26,35
489.115,13129,23959,26,14
489.639,13125,23950,26,35
490.139,13125,23912,26,14
490.661,13129,23931,26,35
491.152,13129,23981,26,14
491.724,13132,23940,26,35
492.157,13132,23959,26,14
492.707,13125,23937,26,35
493.143,13129,23953,26,14
493.618,13132,23959,26,35
494.208,13129,23953,26,14
494.677,13132,23921,26,35
495.107,13132,23968,26,14
495.613,13132,23928,26,35
496.165,13136,23956,26,14
496.649,13125,23968,26,35
497.205,13125,23978,26,14
497.686,13125,23946,26,35
498.144,13132,23968,26,14
498.599,13132,23975,26,35
499.101,13136,23946,26,14
499.682,13132,23940,26,35
